Card Name,Decks avec carte,Decks totaux analysés,% apparition dans les decks,Quantité totale,Présente comme commander dans X decks,Nombre de commanders concernés
Lantern-Lit Graveyard,1,25208,0.00%,1,0,1
Lapis Lazuli Talisman,2,25208,0.01%,2,0,1
Lapse of Certainty,52,25208,0.21%,52,0,4
Laquatus's Champion,7,25208,0.03%,7,0,1
Laquatus's Disdain,1,25208,0.00%,1,0,1
Larceny,2,25208,0.01%,2,0,1
Larger Than Life,13,25208,0.05%,13,0,2
Laser Screwdriver,4,25208,0.02%,4,0,3
Lash of Malice,4,25208,0.02%,4,0,1
Lash of the Balrog,11,25208,0.04%,11,0,2
Lashknife Barrier,1,25208,0.00%,1,0,1
Lashwrithe,1,25208,0.00%,1,0,1
Lassoed by the Law,1,25208,0.00%,1,0,1
Last Breath,2,25208,0.01%,2,0,2
Last Chance,96,25208,0.38%,96,0,4
Last Gasp,2,25208,0.01%,2,0,2
Last Laugh,6,25208,0.02%,6,0,3
Last March of the Ents,506,25208,2.01%,506,0,6
Last One Standing,121,25208,0.48%,121,0,1
Last Thoughts,4,25208,0.02%,4,0,2
Last Voyage of the_____,1,25208,0.00%,1,0,1
Last Word,25,25208,0.10%,25,0,4
Last-Ditch Effort,433,25208,1.72%,433,0,1
Lasyd Prowler,2,25208,0.01%,2,0,2
Lat-Nam Adept,12,25208,0.05%,12,0,2
Lat-Nam's Legacy,10,25208,0.04%,10,0,3
Latch Seeker,1,25208,0.00%,1,0,1
Late to Dinner,46,25208,0.18%,46,0,5
"Lathiel, the Bounteous Dawn",24,25208,0.10%,24,0,3
"Lathliss, Dragon Queen",1,25208,0.00%,1,0,1
"Lathril, Blade of the Elves",3090,25208,12.26%,3091,3056,2
Latulla's Orders,1,25208,0.00%,1,0,1
Laughing Mad,2,25208,0.01%,2,0,1
Launch Mishap,4,25208,0.02%,4,0,2
Launch the Fleet,7,25208,0.03%,7,0,3
"Laurine, the Diversion",1,25208,0.00%,1,0,1
Lava Axe,5,25208,0.02%,5,0,3
Lava Blister,1,25208,0.00%,1,0,1
Lava Burst,6,25208,0.02%,6,0,2
Lava Coil,13,25208,0.05%,13,0,3
Lava Dart,1,25208,0.00%,1,0,1
Lava Serpent,1,25208,0.00%,1,0,1
Lava Spike,4,25208,0.02%,4,0,1
Lava Storm,1,25208,0.00%,1,0,1
Lavaball Trap,3,25208,0.01%,3,0,2
Lavabelly Sliver,3,25208,0.01%,3,0,1
Lavaborn Muse,1,25208,0.00%,1,0,1
Lavabrink Floodgates,6,25208,0.02%,6,0,3
Lavabrink Venturer,12,25208,0.05%,12,0,1
Lavaclaw Reaches,14,25208,0.06%,14,0,1
Lavafume Invoker,1,25208,0.00%,1,0,1
Lavakin Brawler,1,25208,0.00%,1,0,1
Lavamancer's Skill,1,25208,0.00%,1,0,1
Lavaspur Boots,164,25208,0.65%,164,0,10
Lavastep Raider,15,25208,0.06%,15,0,1
Lavinia of the Tenth,28,25208,0.11%,28,0,2
"Lavinia, Azorius Renegade",67,25208,0.27%,67,0,2
"Lavinia, Foil to Conspiracy",2,25208,0.01%,2,0,1
Law-Rune Enforcer,8,25208,0.03%,8,0,1
Lawless Broker,1,25208,0.00%,1,0,1
Lawmage's Binding,3,25208,0.01%,3,0,1
Lay Bare,3,25208,0.01%,3,0,2
Lay Claim,3,25208,0.01%,3,0,2
Lay Down Arms,7,25208,0.03%,7,0,3
Lay Waste,1,25208,0.00%,1,0,1
Lay of the Land,15,25208,0.06%,15,0,4
Layla Hassan,2,25208,0.01%,2,0,1
"Lazav, Dimir Mastermind",505,25208,2.00%,505,0,2
"Lazav, Familiar Stranger",6,25208,0.02%,6,0,2
"Lazav, Wearer of Faces",14,25208,0.06%,14,0,2
"Lazav, the Multifarious",29,25208,0.12%,29,0,2
Lazotep Chancellor,2,25208,0.01%,2,0,1
Lazotep Plating,133,25208,0.53%,133,0,4
Lazotep Quarry,41,25208,0.16%,41,0,9
Lazotep Reaver,7,25208,0.03%,7,0,1
Lead Pipe,2,25208,0.01%,2,0,1
Lead by Example,2,25208,0.01%,2,0,1
Lead the Stampede,45,25208,0.18%,45,0,4
Lead-Belly Chimera,1,25208,0.00%,1,0,1
Leaden Myr,27,25208,0.11%,27,0,5
Leadership Vacuum,109,25208,0.43%,109,0,5
Leaf Gilder,55,25208,0.22%,55,0,3
Leaf-Crowned Visionary,2555,25208,10.14%,2555,0,4
Leafdrake Roost,2,25208,0.01%,2,0,1
Leafkin Avenger,2,25208,0.01%,2,0,1
Leafkin Druid,30,25208,0.12%,30,0,6
Leap,51,25208,0.20%,51,0,2
Leapfrog,1,25208,0.00%,1,0,1
Leaping Ambush,12,25208,0.05%,12,0,5
Learn from the Past,89,25208,0.35%,89,0,4
Leather Armor,5,25208,0.02%,5,0,4
Leatherback Baloth,2,25208,0.01%,2,0,1
Leave //Chance,6,25208,0.02%,6,0,3
Leave No Trace,4,25208,0.02%,4,0,2
Leave in the Dust,6,25208,0.02%,6,0,1
Ledev Champion,1,25208,0.00%,1,0,1
Ledger Shredder,424,25208,1.68%,424,0,5
Leech Bonder,1,25208,0.00%,1,0,1
Leech Gauntlet,7,25208,0.03%,7,0,1
Leechridden Swamp,23,25208,0.09%,23,0,5
"Leela, Sevateem Warrior",3,25208,0.01%,3,0,2
Leering Emblem,1,25208,0.00%,1,0,1
Leering Onlooker,1,25208,0.00%,1,0,1
Legacy's Allure,3,25208,0.01%,3,0,3
"Legate Lanius, Caesar's Ace",2,25208,0.01%,2,0,1
Legerdemain,2,25208,0.01%,2,0,2
Legion Angel,1,25208,0.00%,1,0,1
Legion Guildmage,1,25208,0.00%,1,0,1
Legion Leadership,234,25208,0.93%,234,0,2
Legion Loyalist,765,25208,3.03%,765,0,3
Legion Loyalty,274,25208,1.09%,275,0,6
Legion Vanguard,2,25208,0.01%,2,0,2
Legion Warboss,952,25208,3.78%,952,0,5
Legion of Clay,1,25208,0.00%,1,0,0
Legion's Initiative,142,25208,0.56%,142,0,2
Legion's Judgment,9,25208,0.04%,9,0,3
Legion's Landing,50,25208,0.20%,50,0,4
Legions to Ashes,47,25208,0.19%,47,0,2
Legolas Greenleaf,561,25208,2.23%,561,0,4
Legolas's Quick Reflexes,865,25208,3.43%,865,0,6
"Legolas, Counter of Kills",403,25208,1.60%,403,0,2
"Legolas, Master Archer",141,25208,0.56%,141,0,2
"Leinore, Autumn Sovereign",2013,25208,7.99%,2013,0,2
Lembas,54,25208,0.21%,54,0,4
"Lena, Selfless Champion",76,25208,0.30%,76,0,4
Leonin Abunas,5,25208,0.02%,5,0,2
Leonin Arbiter,50,25208,0.20%,50,0,5
Leonin Den-Guard,1,25208,0.00%,1,0,1
Leonin Elder,6,25208,0.02%,6,0,1
Leonin Lightscribe,3,25208,0.01%,3,0,2
Leonin Relic-Warder,316,25208,1.25%,317,0,5
Leonin Scimitar,2,25208,0.01%,2,0,2
Leonin Shikari,36,25208,0.14%,36,0,2
Leonin Skyhunter,1,25208,0.00%,1,0,1
Leonin Squire,1,25208,0.00%,1,0,0
Leonin Sun Standard,1,25208,0.00%,1,0,1
Leonin Warleader,20,25208,0.08%,20,0,4
"Leovold, Emissary of Trest",58,25208,0.23%,58,0,1
Leshrac's Rite,3,25208,0.01%,3,0,3
Lesser Masticore,39,25208,0.15%,39,0,4
Lethal Exploit,1,25208,0.00%,1,0,1
Lethal Scheme,110,25208,0.44%,110,0,4
Lethal Vapors,26,25208,0.10%,26,0,3
Lethe Lake,1,25208,0.00%,1,0,1
Letter of Acceptance,61,25208,0.24%,61,0,8
Leveler,13,25208,0.05%,13,0,4
Leviathan,1,25208,0.00%,1,0,1
Levitating Statue,4,25208,0.02%,4,0,1
Levitation,43,25208,0.17%,43,0,4
Ley Weaver,25,25208,0.10%,25,0,5
Leyline Axe,97,25208,0.38%,97,0,7
Leyline Binding,46,25208,0.18%,46,0,2
Leyline Dowser,4,25208,0.02%,4,0,2
Leyline Immersion,21,25208,0.08%,21,0,6
Leyline Invocation,10,25208,0.04%,10,0,3
Leyline Prowler,4,25208,0.02%,4,0,2
Leyline Tyrant,20,25208,0.08%,20,0,2
Leyline of Abundance,359,25208,1.42%,359,0,5
Leyline of Anticipation,1558,25208,6.18%,1558,0,5
Leyline of Combustion,6,25208,0.02%,6,0,2
Leyline of Hope,11,25208,0.04%,11,0,3
Leyline of Lifeforce,9,25208,0.04%,9,0,4
Leyline of Lightning,5,25208,0.02%,5,0,2
Leyline of Punishment,21,25208,0.08%,21,0,1
Leyline of Resonance,1,25208,0.00%,1,0,1
Leyline of Sanctity,14,25208,0.06%,14,0,4
Leyline of Singularity,8,25208,0.03%,8,0,4
Leyline of Transformation,82,25208,0.33%,82,0,4
Leyline of Vitality,6,25208,0.02%,6,0,2
Leyline of the Meek,3,25208,0.01%,3,0,2
Leyline of the Void,55,25208,0.22%,55,0,5
Lhurgoyf,1,25208,0.00%,1,0,1
Liability,3,25208,0.01%,3,0,1
Liar's Pendulum,2,25208,0.01%,2,0,1
Liberate,2,25208,0.01%,2,0,2
Liberated Livestock,1,25208,0.00%,1,0,1
"Liberator, Urza's Battlethopter",4,25208,0.02%,4,0,3
Library,1,25208,0.00%,1,0,0
Library Larcenist,3,25208,0.01%,3,0,2
Library of Lat-Nam,4,25208,0.02%,4,0,2
Library of Leng,20,25208,0.08%,20,0,7
Lich,1,25208,0.00%,1,0,1
Lich Lord of Unx,2,25208,0.01%,2,0,1
Lich's Mastery,8,25208,0.03%,8,0,4
Lich's Mirror,2,25208,0.01%,2,0,2
Lich's Tomb,1,25208,0.00%,1,0,1
Lich-Knights'Conquest,33,25208,0.13%,33,0,4
Lictor,3,25208,0.01%,3,0,2
Lie in Wait,1,25208,0.00%,1,0,1
Liege of the Hollows,1,25208,0.00%,1,0,1
Liege of the Pit,2,25208,0.01%,2,0,1
Liege of the Tangle,15,25208,0.06%,15,0,3
"Lier, Disciple of the Drowned",380,25208,1.51%,380,0,5
"Liesa, Forgotten Archangel",31,25208,0.12%,31,0,2
"Liesa, Shroud of Dusk",6,25208,0.02%,6,0,2
Lieutenant Kirtar,2,25208,0.01%,2,0,2
Lieutenants of the Guard,8,25208,0.03%,8,0,2
Life //Death,89,25208,0.35%,89,0,2
Life Chisel,1,25208,0.00%,1,0,1
Life Finds a Way,6,25208,0.02%,6,0,4
Life Goes On,9,25208,0.04%,9,0,4
Life Insurance,124,25208,0.49%,124,0,2
Life Matrix,1,25208,0.00%,1,0,1
Life and Limb,20,25208,0.08%,20,0,3
Life from the Loam,423,25208,1.68%,424,0,5
Life of the Party,12,25208,0.05%,12,0,4
Life's Finale,139,25208,0.55%,139,0,4
Life's Legacy,515,25208,2.04%,515,0,6
Lifeblood Hydra,47,25208,0.19%,47,0,5
Lifecraft Awakening,2,25208,0.01%,2,0,1
Lifecraft Cavalry,1,25208,0.00%,1,0,1
Lifecraft Engine,3,25208,0.01%,3,0,1
Lifecrafter's Bestiary,1641,25208,6.51%,1641,0,6
Lifecrafter's Gift,35,25208,0.14%,35,0,5
Lifecreed Duo,10,25208,0.04%,10,0,3
Lifeforce,8,25208,0.03%,8,0,2
Lifegift,17,25208,0.07%,17,0,3
Lifeline,11,25208,0.04%,11,0,3
Lifelink,15,25208,0.06%,15,0,5
Lifespinner,2,25208,0.01%,2,0,1
Lifespring Druid,19,25208,0.08%,19,0,5
Lifestream's Blessing,3,25208,0.01%,3,0,1
Lifetap,9,25208,0.04%,9,0,3
Lifted by Clouds,1,25208,0.00%,1,0,1
Light Up the Night,2,25208,0.01%,2,0,1
Light Up the Stage,137,25208,0.54%,137,0,3
Light of Day,3,25208,0.01%,3,0,2
Light of Hope,34,25208,0.13%,34,0,3
Light of Promise,25,25208,0.10%,25,0,4
Light the Way,10,25208,0.04%,10,0,3
"Light-Paws, Emperor's Voice",2,25208,0.01%,2,0,1
Lightfoot Rogue,1,25208,0.00%,1,0,1
Lightfoot Technique,15,25208,0.06%,15,0,3
Lightform,2,25208,0.01%,2,0,2
Lighthouse Chronologist,45,25208,0.18%,45,0,4
Lightmine Field,6,25208,0.02%,6,0,2
Lightning Axe,12,25208,0.05%,12,0,2
Lightning Berserker,5,25208,0.02%,5,0,1
Lightning Blast,1,25208,0.00%,1,0,1
Lightning Bolt,841,25208,3.34%,841,0,6
Lightning Coils,2,25208,0.01%,2,0,2
Lightning Colt,5,25208,0.02%,5,0,1
Lightning Crafter,350,25208,1.39%,350,0,2
Lightning Greaves,9179,25208,36.41%,9179,0,12
Lightning Helix,62,25208,0.25%,62,0,3
Lightning Mare,463,25208,1.84%,463,0,2
Lightning Mauler,3,25208,0.01%,3,0,3
Lightning Phoenix,1,25208,0.00%,1,0,1
Lightning Reaver,1,25208,0.00%,1,0,0
Lightning Reflexes,1,25208,0.00%,1,0,1
Lightning Runner,2,25208,0.01%,2,0,1
Lightning Serpent,1,25208,0.00%,1,0,1
Lightning Shrieker,1,25208,0.00%,1,0,1
Lightning Skelemental,3,25208,0.01%,3,0,1
Lightning Spear,16,25208,0.06%,16,0,3
Lightning Stormkin,1,25208,0.00%,1,0,1
Lightning Strike,60,25208,0.24%,60,0,3
Lightning Talons,2,25208,0.01%,2,0,1
Lightning Volley,13,25208,0.05%,13,0,1
"Lightning, Army of One",8,25208,0.03%,8,0,2
"Lightning, Security Sergeant",1,25208,0.00%,1,0,1
Lightning-Rig Crew,5,25208,0.02%,5,0,1
Lightshell Duo,9,25208,0.04%,9,0,1
Lightwalker,5,25208,0.02%,5,0,1
Lightwheel Enhancements,4,25208,0.02%,4,0,1
Lightwielder Paladin,3,25208,0.01%,3,0,1
Lignify,261,25208,1.04%,261,0,6
Likeness Looter,72,25208,0.29%,72,0,2
Liliana Vess,27,25208,0.11%,27,0,5
Liliana of the Dark Realms,24,25208,0.10%,24,0,5
Liliana of the Veil,27,25208,0.11%,27,0,5
Liliana's Caress,3,25208,0.01%,3,0,1
Liliana's Contract,4,25208,0.02%,4,0,3
Liliana's Defeat,1,25208,0.00%,1,0,1
Liliana's Devotee,5,25208,0.02%,5,0,2
Liliana's Indignation,2,25208,0.01%,2,0,2
Liliana's Mastery,3,25208,0.01%,3,0,3
Liliana's Reaver,2,25208,0.01%,2,0,2
Liliana's Scorn,1,25208,0.00%,1,0,1
Liliana's Shade,1,25208,0.00%,1,0,1
Liliana's Specter,1,25208,0.00%,1,0,1
Liliana's Standard Bearer,7,25208,0.03%,7,0,2
Liliana's Talent,1,25208,0.00%,1,0,1
Liliana's Triumph,9,25208,0.04%,9,0,4
"Liliana, Death Mage",8,25208,0.03%,8,0,4
"Liliana, Death's Majesty",15,25208,0.06%,15,0,4
"Liliana, Dreadhorde General",224,25208,0.89%,224,0,4
"Liliana, Heretical Healer",331,25208,1.31%,331,0,2
"Liliana, Untouched by Death",2,25208,0.01%,2,0,2
"Liliana, Waker of the Dead",11,25208,0.04%,11,0,4
"Liliana, the Last Hope",11,25208,0.04%,11,0,2
"Liliana, the Necromancer",1,25208,0.00%,1,0,1
Lilting Refrain,1,25208,0.00%,1,0,1
"Lily Bowen, Raging Grandma",4,25208,0.02%,4,0,2
Lilypad Village,17,25208,0.07%,17,0,2
Lilysplash Mentor,46,25208,0.18%,46,0,3
Lim-Dûl the Necromancer,1,25208,0.00%,1,0,1
Lim-Dûl's Vault,92,25208,0.36%,92,0,2
Limited Resources,1,25208,0.00%,1,0,1
Limits of Solidarity,3,25208,0.01%,3,0,2
"Lin Sivvi, Defiant Hero",1,25208,0.00%,1,0,1
"Lindblum, Industrial Regency // Mage Siege",2,25208,0.01%,2,0,2
"Linden, the Steadfast Queen",33,25208,0.13%,33,0,3
Line Cutter,3,25208,0.01%,3,0,1
Linebreaker Baloth,2,25208,0.01%,2,0,2
"Linessa, Zephyr Mage",1,25208,0.00%,1,0,1
Lingering Mirage,9,25208,0.04%,9,0,1
Lingering Souls,3,25208,0.01%,3,0,1
"Linvala, Keeper of Silence",93,25208,0.37%,93,0,6
"Linvala, Shield of Sea Gate",17,25208,0.07%,17,0,2
Lion Sash,137,25208,0.54%,137,0,5
Lion Umbra,22,25208,0.09%,22,0,4
Lion's Eye Diamond,132,25208,0.52%,132,0,11
Lionheart Glimmer,1,25208,0.00%,1,0,1
Lionheart Maverick,1,25208,0.00%,1,0,1
Liquify,1,25208,0.00%,1,0,1
Liquimetal Coating,12,25208,0.05%,12,0,3
Liquimetal Torque,345,25208,1.37%,345,0,11
Lithoform Blight,4,25208,0.02%,4,0,3
Lithoform Engine,159,25208,0.63%,159,0,11
Lithomantic Barrage,3,25208,0.01%,3,0,1
Littjara,1,25208,0.00%,1,0,1
Littjara Glade-Warden,4,25208,0.02%,4,0,2
Littjara Kinseekers,6,25208,0.02%,6,0,1
Littjara Mirrorlake,53,25208,0.21%,53,0,3
Liturgy of Blood,3,25208,0.01%,3,0,2
"Liu Bei, Lord of Shu",12,25208,0.05%,12,0,1
"Livaan, Cultist of Tiamat",2,25208,0.01%,2,0,1
Live Fast,1,25208,0.00%,1,0,1
Live or Die,5,25208,0.02%,5,0,2
Lively Dirge,69,25208,0.27%,69,0,4
Livewire Lash,5,25208,0.02%,5,0,2
Living Armor,1,25208,0.00%,1,0,0
Living Artifact,1,25208,0.00%,1,0,1
Living Death,280,25208,1.11%,280,0,5
Living Destiny,1,25208,0.00%,1,0,1
Living End,4,25208,0.02%,4,0,3
Living Hive,2,25208,0.01%,2,0,1
Living Lands,2,25208,0.01%,2,0,2
Living Lightning,3,25208,0.01%,3,0,1
Living Plane,12,25208,0.05%,12,0,4
Living Tempest,1,25208,0.00%,1,0,1
Living Tsunami,3,25208,0.01%,3,0,2
Living Twister,55,25208,0.22%,55,0,1
Living Wish,1,25208,0.00%,1,0,1
"Livio, Oathsworn Sentinel",15,25208,0.06%,15,0,4
Lizard Blades,221,25208,0.88%,221,0,4
Llanowar,1,25208,0.00%,1,0,1
Llanowar Augur,4,25208,0.02%,4,0,1
Llanowar Cavalry,1,25208,0.00%,1,0,1
Llanowar Dead,55,25208,0.22%,55,0,2
Llanowar Druid,14,25208,0.06%,14,0,3
Llanowar Elite,1,25208,0.00%,1,0,1
Llanowar Elves,5554,25208,22.03%,5554,0,6
Llanowar Empath,9,25208,0.04%,9,0,2
Llanowar Envoy,5,25208,0.02%,5,0,2
Llanowar Greenwidow,1,25208,0.00%,1,0,1
Llanowar Knight,1,25208,0.00%,1,0,1
Llanowar Loamspeaker,278,25208,1.10%,278,0,5
Llanowar Mentor,57,25208,0.23%,57,0,3
Llanowar Reborn,149,25208,0.59%,149,0,5
Llanowar Scout,227,25208,0.90%,227,0,4
Llanowar Stalker,12,25208,0.05%,12,0,2
Llanowar Tribe,1168,25208,4.63%,1168,0,5
Llanowar Visionary,498,25208,1.98%,498,0,6
Llanowar Wastes,2874,25208,11.40%,2874,0,2
"Llawan, Cephalid Empress",11,25208,0.04%,11,0,4
Loam Dryad,4,25208,0.02%,4,0,3
Loam Dweller,3,25208,0.01%,3,0,1
Loam Larva,4,25208,0.02%,4,0,2
Loamcrafter Faun,6,25208,0.02%,6,0,2
Loaming Shaman,20,25208,0.08%,20,0,4
Loan Shark,2,25208,0.01%,2,0,1
Lobber Crew,7,25208,0.03%,7,0,1
Lobelia Sackville-Baggins,5,25208,0.02%,5,0,3
Localized Destruction,3,25208,0.01%,3,0,2
Lochmere Serpent,8,25208,0.03%,8,0,2
Lock and Load,9,25208,0.04%,9,0,2
Locked in the Cemetery,1,25208,0.00%,1,0,1
Locket of Yesterdays,3,25208,0.01%,3,0,1
Locust Miser,3,25208,0.01%,3,0,1
Locust Spray,1,25208,0.00%,1,0,1
Lodestone Golem,12,25208,0.05%,12,0,4
Lodestone Needle,5,25208,0.02%,5,0,3
Lofty Denial,5,25208,0.02%,5,0,3
Logic Knot,32,25208,0.13%,32,0,4
"Lolth, Spider Queen",71,25208,0.28%,71,0,3
Lone Missionary,1,25208,0.00%,1,0,1
Lone Rider,9,25208,0.04%,9,0,3
Lonely Arroyo,20,25208,0.08%,20,0,2
Lonely Sandbar,462,25208,1.83%,462,0,5
Lonesome Unicorn // Rider in Need,19,25208,0.08%,19,0,2
Long Goodbye,17,25208,0.07%,17,0,3
Long List of the Ents,7,25208,0.03%,7,0,3
Long Rest,8,25208,0.03%,8,0,5
Long River Lurker,47,25208,0.19%,47,0,2
Long River's Pull,347,25208,1.38%,347,0,4
Long Road Home,12,25208,0.05%,12,0,4
Long-Finned Skywhale,3,25208,0.01%,3,0,2
Long-Forgotten Gohei,1,25208,0.00%,1,0,1
Long-Term Plans,67,25208,0.27%,67,0,5
Longbow Archer,1,25208,0.00%,1,0,1
Longhorn Firebeast,4,25208,0.02%,4,0,1
Longshot Squad,13,25208,0.05%,13,0,4
Longstalk Brawl,6,25208,0.02%,6,0,3
"Lonis, Genetics Expert",19,25208,0.08%,19,0,2
"Lonis,Cryptozoologist",92,25208,0.36%,92,0,2
"Look at Me, I'm R&D",1,25208,0.00%,1,0,1
"Look at Me, I'm the DCI",1,25208,0.00%,1,0,1
Lookout's Dispersal,4,25208,0.02%,4,0,2
Looming Spires,70,25208,0.28%,70,0,3
Loot Dispute,4,25208,0.02%,4,0,2
"Loot, Exuberant Explorer",188,25208,0.75%,188,0,6
"Loot, the Pathfinder",1,25208,0.00%,1,0,1
Looteril-Kor,8,25208,0.03%,8,0,3
Loran of the Third Path,806,25208,3.20%,806,0,6
Loran's Escape,179,25208,0.71%,179,0,5
"Loran, Disciple of History",4,25208,0.02%,4,0,3
"Lorcan, Warlock Collector",22,25208,0.09%,22,0,2
Lord Magnus,1,25208,0.00%,1,0,1
Lord Skitter's Blessing,4,25208,0.02%,4,0,3
Lord Skitter's Butcher,4,25208,0.02%,4,0,1
"Lord Skitter, Sewer King",54,25208,0.21%,54,0,1
Lord of Atlantis,21,25208,0.08%,21,0,4
Lord of Change,17,25208,0.07%,17,0,3
Lord of Extinction,10,25208,0.04%,10,0,2
Lord of Shatterskull Pass,1,25208,0.00%,1,0,1
Lord of the Accursed,2,25208,0.01%,2,0,1
Lord of the Forsaken,1,25208,0.00%,1,0,1
Lord of the Nazgûl,2,25208,0.01%,2,0,1
Lord of the Pit,2,25208,0.01%,2,0,1
Lord of the Undead,2,25208,0.01%,2,0,1
Lord of the Unreal,1,25208,0.00%,1,0,1
Lord of the Void,9,25208,0.04%,9,0,3
Lore Broker,4,25208,0.02%,4,0,2
Lore Drakkis,32,25208,0.13%,32,0,1
Lore Weaver,2,25208,0.01%,2,0,1
Lorehold Campus,72,25208,0.29%,72,0,2
Lorehold Command,8,25208,0.03%,8,0,2
Lorehold Pledgemage,1,25208,0.00%,1,0,1
Lorescale Coatl,20,25208,0.08%,20,0,2
Loreseeker's Stone,31,25208,0.12%,31,0,3
"Lorthos, the Tidemaker",12,25208,0.05%,12,0,3
Lose Calm,4,25208,0.02%,4,0,1
Lose Focus,168,25208,0.67%,168,0,5
"Losheel, Clockwork Scholar",3,25208,0.01%,3,0,2
Lossarnach Captain,474,25208,1.88%,474,0,3
Lost Auramancers,3,25208,0.01%,3,0,3
Lost Isle Calling,283,25208,1.12%,283,0,3
Lost Jitte,15,25208,0.06%,15,0,4
Lost Leonin,2,25208,0.01%,2,0,1
Lost Mine of Phandelver,1,25208,0.00%,1,0,1
Lost Order of Jarkeld,1,25208,0.00%,1,0,1
Lost Soul,1,25208,0.00%,1,0,1
Lost in the Maze,19,25208,0.08%,19,0,3
Lost in the Mist,5,25208,0.02%,5,0,2
Lost to Legend,42,25208,0.17%,42,0,4
Lothlórien Blade,416,25208,1.65%,416,0,4
Lothlórien Lookout,125,25208,0.50%,125,0,2
"Lotho, Corrupt Shirriff",29,25208,0.12%,29,0,2
Lotleth Giant,3,25208,0.01%,3,0,2
Lotleth Troll,2,25208,0.01%,2,0,2
Lotus Bloom,30,25208,0.12%,30,0,10
Lotus Blossom,6,25208,0.02%,6,0,5
Lotus Cobra,2355,25208,9.34%,2355,0,6
Lotus Field,148,25208,0.59%,148,0,12
Lotus Path Djinn,2,25208,0.01%,2,0,1
Lotus Petal,1382,25208,5.48%,1382,0,12
Lotus Ring,8,25208,0.03%,8,0,4
Lotus Vale,23,25208,0.09%,23,0,10
Lotusguard Disciple,2,25208,0.01%,2,0,1
Lotuslight Dancers,4,25208,0.02%,4,0,1
Louisoix's Sacrifice,1,25208,0.00%,1,0,1
Lounge,8,25208,0.03%,8,0,2
Love Song of Night and Day,14,25208,0.06%,14,0,3
Lovestruck Beast // Heart's Desire,40,25208,0.16%,40,0,4
Lovisa Coldeyes,18,25208,0.07%,18,0,1
Lowland Tracker,2,25208,0.01%,2,0,0
Loxodon Convert,1,25208,0.00%,1,0,1
Loxodon Eavesdropper,4,25208,0.02%,4,0,1
Loxodon Gatekeeper,6,25208,0.02%,6,0,4
Loxodon Hierarch,5,25208,0.02%,5,0,3
Loxodon Lifechanter,21,25208,0.08%,21,0,2
Loxodon Partisan,1,25208,0.00%,1,0,0
Loxodon Restorer,12,25208,0.05%,12,0,2
Loxodon Warhammer,473,25208,1.88%,473,0,10
Loyal Apprentice,7,25208,0.03%,7,0,3
Loyal Drake,43,25208,0.17%,43,0,5
Loyal Gryff,6,25208,0.02%,6,0,3
Loyal Guardian,50,25208,0.20%,50,0,5
Loyal Inventor,10,25208,0.04%,10,0,3
Loyal Pegasus,21,25208,0.08%,21,0,1
Loyal Retainers,60,25208,0.24%,60,0,3
Loyal Sentry,22,25208,0.09%,22,0,2
Loyal Subordinate,7,25208,0.03%,7,0,1
Loyal Unicorn,518,25208,2.05%,518,0,5
Loyal Warhound,68,25208,0.27%,68,0,5
"Lu Bu,Master-at-Arms",11,25208,0.04%,11,0,1
"Lu Xun, Scholar General",5,25208,0.02%,5,0,3
Lucid Dreams,3,25208,0.01%,3,0,2
Lucille,5,25208,0.02%,5,0,1
Lucius the Eternal,4,25208,0.02%,4,0,1
Luck Bobblehead,4,25208,0.02%,4,0,1
Lucky Clover,2,25208,0.01%,2,0,2
Lucky Offering,6,25208,0.02%,6,0,3
Ludevic's Test Subject,80,25208,0.32%,80,0,2
"Ludevic,Necrogenius",4,25208,0.02%,4,0,2
"Luka, the Traveling Sound",1,25208,0.00%,1,0,1
"Lukamina, Moon Druid",2,25208,0.01%,2,0,1
"Lukka, Bound to Ruin",11,25208,0.04%,11,0,1
"Lukka, Coppercoat Outcast",3,25208,0.01%,3,0,1
Lull,44,25208,0.17%,44,0,6
Lullmage Mentor,18,25208,0.07%,18,0,2
Lullmage's Domination,15,25208,0.06%,15,0,2
"Lulu, Loyal Hollyphant",10,25208,0.04%,10,0,3
Lumbering Battlement,11,25208,0.04%,11,0,4
Lumbering Falls,73,25208,0.29%,73,0,3
Lumbering Megasloth,1,25208,0.00%,1,0,1
Lumbering Satyr,1,25208,0.00%,1,0,1
Lumbering Worldwagon,10,25208,0.04%,10,0,3
Luminarch Ascension,51,25208,0.20%,51,0,5
Luminarch Aspirant,1178,25208,4.67%,1178,0,5
Luminate Primordial,27,25208,0.11%,27,0,3
Luminescent Rain,7,25208,0.03%,7,0,2
Luminous Angel,2,25208,0.01%,2,0,1
Luminous Bonds,6,25208,0.02%,6,0,3
Luminous Broodmoth,285,25208,1.13%,285,0,6
Luminous Rebuke,9,25208,0.04%,9,0,3
Luminous Wake,1,25208,0.00%,1,0,1
Lumithread Field,1,25208,0.00%,1,0,1
"Lumra, Bellow of the Woods",89,25208,0.35%,89,0,4
Lunar Avenger,1,25208,0.00%,1,0,1
Lunar Convocation,26,25208,0.10%,26,0,1
Lunar Force,2,25208,0.01%,2,0,2
Lunar Frenzy,7,25208,0.03%,7,0,3
Lunar Hatchling,5,25208,0.02%,5,0,2
Lunar Insight,50,25208,0.20%,50,0,4
Lunar Mystic,16,25208,0.06%,16,0,2
Lunar Rejection,1,25208,0.00%,1,0,1
